Draw Date,Winning Numbers,,,,,Powerball,Power Play
05/11/2019,40,9,8,6,37,26,2
05/08/2019,66,64,45,53,1,3,3
05/04/2019,30,6,23,16,61,2,2
05/01/2019,66,28,23,56,5,17,5
04/27/2019,45,29,62,41,2,6,3
04/24/2019,35,65,32,36,6,4,5
04/20/2019,3,63,27,65,30,1,3
04/17/2019,15,46,66,17,1,15,3
04/13/2019,17,26,32,4,49,10,2
04/10/2019,39,12,21,23,67,6,4
04/06/2019,33,43,60,59,15,8,3
04/03/2019,25,16,32,49,19,18,2
03/30/2019,54,52,21,64,68,4,3
03/27/2019,44,62,20,37,16,12,3
03/23/2019,66,52,60,24,25,5,3
03/20/2019,10,53,50,63,14,21,2
03/16/2019,67,30,34,39,53,11,2
03/13/2019,69,36,45,47,18,14,3
03/09/2019,45,5,59,55,6,14,3
03/06/2019,21,35,10,6,46,23,2
03/02/2019,27,68,25,19,1,21,2
02/27/2019,49,31,59,42,21,23,5
02/23/2019,32,4,20,6,14,13,2
02/20/2019,50,52,49,51,27,2,2
02/16/2019,48,30,41,64,29,1,4
02/13/2019,2,24,8,69,14,26,2
02/09/2019,7,39,2,3,1,25,3
02/06/2019,13,28,5,63,38,21,5
02/02/2019,10,43,17,18,65,13,5
01/30/2019,16,2,12,29,54,6,2
01/26/2019,12,8,21,32,20,10,4
01/23/2019,50,25,48,23,47,24,3
01/19/2019,5,65,8,66,41,20,3
01/16/2019,14,61,29,31,56,1,2
01/12/2019,57,58,7,36,48,24,2
01/09/2019,19,59,37,6,49,22,3
01/05/2019,15,27,69,7,3,19,2
01/02/2019,56,46,42,12,8,12,2
12/29/2018,51,53,42,62,12,25,2
12/26/2018,52,38,25,67,5,24,2
12/22/2018,40,59,28,21,30,26,3
12/19/2018,43,31,29,37,15,16,2
12/15/2018,8,38,55,52,43,17,3
12/12/2018,9,64,29,21,4,26,2
12/08/2018,61,14,34,32,46,10,2
12/05/2018,36,38,9,11,37,11,5
12/01/2018,10,58,47,11,55,26,2
11/28/2018,4,68,59,69,19,21,2
11/24/2018,56,33,58,51,11,18,2
11/21/2018,14,23,38,7,55,18,2
11/17/2018,8,6,68,20,52,5,2
11/14/2018,49,62,42,7,69,23,5
11/10/2018,53,29,5,57,34,24,2
11/07/2018,50,28,34,42,26,25,2
11/03/2018,24,65,21,32,15,11,3
10/31/2018,40,39,47,7,25,20,3
10/27/2018,13,12,8,27,19,4,3
10/24/2018,56,53,45,21,3,22,2
10/20/2018,62,16,54,57,69,23,2
10/17/2018,3,64,69,68,57,15,3
10/13/2018,14,65,11,43,32,15,3
10/10/2018,27,60,42,23,8,7,3
10/06/2018,22,53,27,67,1,15,3
10/03/2018,63,66,53,59,41,3,3
09/29/2018,9,17,34,59,64,22,2
09/26/2018,7,1,30,50,2,8,5
09/22/2018,61,24,69,64,63,18,5
09/19/2018,50,4,51,48,39,11,3
09/15/2018,19,18,24,34,2,3,3
09/12/2018,28,48,63,6,64,24,2
09/08/2018,20,32,3,33,13,21,3
09/05/2018,59,60,6,50,15,13,2
09/01/2018,54,66,55,61,11,9,3
08/29/2018,53,25,41,67,57,12,2
08/25/2018,25,20,57,63,54,8,2
08/22/2018,45,1,47,69,7,13,2
08/18/2018,34,67,52,61,24,16,3
08/15/2018,28,15,12,47,48,16,2
08/11/2018,56,43,5,68,62,24,2
08/08/2018,21,63,30,43,10,17,2
08/04/2018,38,58,3,11,44,2,4
08/01/2018,5,38,22,58,32,26,2
07/28/2018,27,65,56,46,22,13,2
07/25/2018,64,44,18,2,41,26,2
07/21/2018,9,56,58,23,68,1,2
07/18/2018,28,36,10,1,27,12,2
07/14/2018,49,22,41,67,42,11,3
07/11/2018,21,19,47,27,46,7,4
07/07/2018,45,43,1,10,64,22,3
07/04/2018,7,41,15,4,44,10,2
06/30/2018,9,3,20,42,61,24,2
06/27/2018,63,28,62,7,37,15,2
06/23/2018,29,56,45,16,43,25,2
06/20/2018,14,56,27,4,23,13,2
06/16/2018,65,9,58,57,45,9,2
06/13/2018,13,38,45,20,55,1,2
06/09/2018,36,10,25,6,15,14,3
06/06/2018,53,28,41,23,56,14,3
06/02/2018,23,37,64,44,25,7,4
05/30/2018,46,23,26,17,68,20,2
05/26/2018,45,31,21,1,49,21,2
05/23/2018,20,54,61,56,64,7,4
05/19/2018,56,9,17,3,6,25,3
05/16/2018,17,22,21,19,51,19,2
05/12/2018,42,56,22,55,45,14,3
05/09/2018,50,69,16,38,11,19,2
05/05/2018,29,36,14,61,57,17,4
05/02/2018,40,5,31,50,14,6,2
04/28/2018,28,50,22,45,20,8,5
04/25/2018,18,17,39,64,56,12,3
04/21/2018,50,69,54,62,40,19,2
04/18/2018,12,17,10,9,23,9,2
04/14/2018,61,17,19,26,62,15,2
04/11/2018,67,18,16,55,27,18,3
04/07/2018,38,2,20,17,39,20,2
04/04/2018,42,64,54,8,24,24,4
03/31/2018,24,55,52,61,8,21,3
03/28/2018,53,8,52,6,26,21,2
03/24/2018,33,56,53,10,45,24,3
03/21/2018,29,4,61,3,18,25,2
03/17/2018,60,66,22,59,57,7,2
03/14/2018,12,24,6,41,68,9,3
03/10/2018,69,43,54,44,61,22,3
03/07/2018,36,6,19,13,51,18,2
03/03/2018,40,17,36,25,13,5,2
02/28/2018,69,12,65,59,30,16,5
02/24/2018,38,25,62,63,24,6,2
02/21/2018,7,36,31,15,34,8,3
02/17/2018,26,62,39,13,44,2,3
02/14/2018,44,46,37,39,69,26,2
02/10/2018,27,13,41,59,1,20,5
02/07/2018,40,35,34,47,23,10,2
02/03/2018,15,48,23,27,53,6,2
01/31/2018,7,4,14,59,46,22,10
01/27/2018,54,26,17,21,47,7,2
01/24/2018,11,9,5,33,64,21,3
01/20/2018,28,26,58,47,49,3,4
01/17/2018,33,51,3,37,57,21,2
01/13/2018,69,25,35,14,58,24,2
01/10/2018,7,24,50,49,33,4,5
01/06/2018,12,61,30,29,33,26,3
01/03/2018,42,39,18,2,37,12,3
12/30/2017,58,28,51,41,36,24,2
12/27/2017,16,60,3,56,9,3,3
12/23/2017,44,15,1,13,3,25,2
